state,county,tract,DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E
48.0,339.0,691900.0,-0.5795800933281215,-0.07533036890462587,-0.8116595247670276,0.1643970522051501,-0.0020854201916753828,0.663412377161538,-0.5325881931428973,-0.2972306611955159,0.813345597604335,0.7037347999080694,0.9710912197871009,-0.1322877322266588,-0.17638644157617556,-0.4396436620101757,-0.5394818167873614,-0.5041341249544412,0.3629441157174259,0.0563908354875669,-0.021210902818996975,-0.3896296991799177,-0.6868067535091851,0.10138173227350226,-0.42370813823198217,-0.5075128075813953,-0.338090872809826
48.0,339.0,692003.0,0.1183182735121591,-0.06185976248109155,-0.1744807355824672,-0.9004335213225314,0.20811879150180276,0.184820961199246,-0.3846020205896061,0.4356001417392697,0.263144631906439,1.4330162028604876,0.6494198533196658,-1.111052440412438,-1.2245846196528347,-0.6018229886377424,-0.29520167379558565,-0.8260396058674996,-0.7756328229444666,0.1451794976940731,-0.02130162678826825,-0.8075981781480377,-0.8895475570087011,0.10138173227350226,0.15164432884627638,-0.5075128075813953,-0.904822930372036
48.0,339.0,692004.0,-0.8968066237100674,-0.8027431157754682,-0.9341939073025199,-1.2069756561259548,0.4183230031952807,0.03916270416724402,-0.5667388483475031,-0.2095415052887894,-0.21511722447502513,0.22347631503696438,-0.23696346761282205,-1.2923051641505452,-0.5948686039261726,-1.5416814959613523,-0.37101275265510225,-0.11324889813144166,-0.7391983609072859,-0.7911373037563563,-0.021201008265973185,-0.9314406904348882,-0.8895475570087011,0.10138173227350226,-0.40409384958158695,1.067217871016495,-1.2723115038917927
48.0,339.0,692005.0,-0.11008482836284171,0.2210229724131252,-0.3950426241463534,-1.2069756561259548,-1.2399546668310462,2.057569980182128,-1.7620117805087026,-0.19701448301639995,-0.33768015145857583,-0.00775925175282618,-0.2679392288282047,-1.464495251701747,-1.2325557084595014,-2.483493971075656,-0.5984459892336521,-1.1709383354172052,-0.8576103625281227,-1.404586242637672,-0.021634600007416672,-0.3431887570723488,-0.8895475570087011,0.10138173227350226,-0.1621842895600465,-0.5075128075813953,-2.48668415887401
48.0,339.0,692006.0,-0.6049582157586771,-0.3043306781047054,-0.8443353601098255,-0.610025183087709,1.5160561087056663,-0.0856872304316148,-0.03171191680868037,-0.2533860832421527,1.49143831319811,0.8816083128232933,2.5794480521242766,-0.4585426349552518,-1.0771194767295025,-1.8425925357281632,-0.5984459892336521,-0.9984889706423523,0.11701149696645705,-0.29069211677423024,-0.021628242637599455,-0.3664092281261332,-0.8895475570087011,0.10138173227350226,-0.1556461933432481,0.5160621335072334,-0.6919788696909099
48.0,339.0,692007.0,-0.846050378848956,-0.6949782643871952,-0.6156045127102396,-0.43255342083309556,-1.2399546668310462,-0.0856872304316148,-0.03171191680868037,0.41054609719449076,0.28445992355575217,-1.1817244369933042,0.16214730189306967,-0.07791191510522649,-0.95356760022617,-1.4986942045660938,-0.5984459892336521,-0.21671851699635314,-0.6390035903050394,0.15325119425830092,-0.020662735021524378,-0.32770844303649244,-0.8895475570087011,0.10138173227350226,0.4916253321197928,-0.5075128075813953,-0.1485266312656982
48.0,339.0,692008.0,-0.8841175624947895,-0.5737428065753878,-0.9341939073025199,-0.7229617590679177,-0.1422215613206607,-0.27296213232990296,-0.5553552966126346,0.7425121874128126,2.495921432171993,0.6681600973250241,2.720030353024859,-1.0657392594779111,-0.7064638472195051,-1.5963925941007726,-0.5984459892336521,-0.17073201972305924,-0.8393931315095324,-1.4691598151514946,-0.021343738388335688,-0.5753934676101933,-0.8895475570087011,0.10138173227350226,0.347787215350228,-0.35003973972160624,-1.197235328103499
48.0,339.0,692009.0,-1.2774784601684022,-0.627625232269525,-1.4079935197730904,-1.158574266420151,-0.8195462434440901,0.018354381734100863,-0.9537796073330344,-0.4475549284641899,4.464921498277296,0.4547118818267562,4.675077435888048,-1.3648062536457881,-0.6466806811695055,-1.0219260636368612,-0.5984459892336521,-0.8605294788224701,-0.7391983609072859,-2.179469112803544,-0.02188942059760907,-0.6450548807715467,-0.8115703248935027,0.10138173227350226,-0.3779414647143934,0.20111599778765532,-2.4201952084816667
48.0,339.0,692010.0,-0.5161347872517325,-0.08880097532816017,-0.4522253359962498,-1.094039080145746,-0.609342031750612,1.9119117231501261,-1.4774229871369884,-0.11558883824586817,1.0784545374926675,0.5614359895758908,1.2808488319409272,-1.6004347945053274,-1.4198762954161666,,-0.5984459892336521,-1.1709383354172052,-1.0215654416954352,-3.753449942827973,-0.02254031010739145,-0.8849997483273194,-0.8895475570087011,0.10138173227350226,-0.0641128463080706,-0.4287762736515008,-3.1215183739116177
48.0,339.0,692101.0,-1.4043690723211806,-0.7488606900813319,-1.448838313951588,-0.674560369362114,-0.4458498671001291,0.05997102660038717,0.4919314629952734,0.16626916288289542,1.1757055556426588,1.0950565283215625,2.0504773606000497,-0.966050261421952,-0.6187818703461724,-1.275941876427026,-0.236237501349295,-0.3431813844979119,-0.6025691282678588,0.032175745794883324,-0.02073706366863546,-0.5753934676101933,-0.8895475570087011,0.10138173227350226,0.18433480993026832,-0.5075128075813953,-0.997867751208503
48.0,339.0,692102.0,-0.3892441750989541,0.4500232816132047,-0.6972941010672346,-0.6584265727935129,0.511747097281271,-0.0856872304316148,-0.4756704344685545,-0.37239279482985294,-0.4309345524243209,-0.6125291956645872,-0.33942175470985697,0.20302980668883955,-0.7662470132695046,-1.6237481431704825,-0.5479052699939744,-1.1709383354172052,-0.1015952752566263,-1.549876780793773,-0.02175094465504907,-0.35866907110820506,-0.5152568428557482,0.10138173227350226,-0.5740843512183451,-0.5075128075813953,-1.0864452293534352
48.0,339.0,692103.0,-0.8714285012795117,-0.007977336786955253,-0.7789836894242295,0.13212945906794776,-0.32906974949264123,-0.0856872304316148,-1.1586835385606684,0.16626916288289542,0.5775451837338081,0.18790161245392037,0.4862014192232265,-0.6669832672540752,0.4931850181838199,-0.41619604852185277,-0.26993131417574684,-0.11324889813144166,-0.3748537405354804,0.4599756636989588,-0.02095799421972705,-0.03358247635522279,-0.8895475570087011,0.10138173227350226,0.2824062531822441,-0.5075128075813953,-0.3080852210650171
48.0,339.0,692201.0,-0.47806760360589884,-0.38515431664591027,0.4218532594235957,-0.0130747100494634,0.20811879150180276,0.14320431633295969,0.3439452904419824,-0.5978791957328637,0.03666965813248662,1.3440794464028758,0.454034282576483,0.12146608100669143,-0.3079094068861745,0.019538768802814632,2.8972870915107247,-0.9754957220057054,0.9823299703494953,0.08060592518025032,-0.020434204306515966,-0.3973698561978458,-0.7335930927783041,0.10138173227350226,-0.5936986398687403,-0.5075128075813953,0.16912625267293657
48.0,339.0,692202.0,-0.37655511388367635,0.08631690817778398,-0.49307013017474727,0.4225377973027698,-0.9129703375300803,-0.3978120669287618,-0.41875267579421166,-0.7544669741377327,0.11260538463316476,-0.363506277583274,0.4897755455173091,1.0821055168186597,-1.005379677469503,1.3775463833348498,2.872016731890886,-0.6995767383659409,-0.42039681808195606,0.09674931830870609,-0.020580854010269534,-0.30448797198270805,0.13975190691191922,0.10138173227350226,-0.6917700831207162,-0.5075128075813953,-0.02609662294713539
48.0,339.0,692301.0,-0.9475628685711786,-1.0182728185520145,-0.6972941010672346,-0.674560369362114,0.4183230031952807,-0.5018536790944775,0.5829998768742221,-0.02789968233914166,-0.3883039691256946,0.045602802121740484,0.04181838332562171,-0.2863525474040499,-1.2245846196528347,0.5490640400807737,-0.09303879683687472,0.2086565827816169,-1.0124568261861402,-1.00100141442628,-0.021538426864016354,-0.8385588062197505,-0.8895475570087011,0.10138173227350226,0.0797252704614941,-0.5075128075813953,-1.2098679804923391
48.0,339.0,692302.0,-0.5415129096822879,0.7463766229309557,-0.8770111954526234,-0.4809548105388992,-0.5626299847076168,-0.58508696882705,1.083876153208439,-0.5790886623242796,0.12193082472973928,0.5792233408674122,0.27413659244099153,1.1908571510615242,-1.3042955077195009,,3.832290397444763,-0.35467800881623546,0.10790288145716194,0.37925869805668044,-0.020549640758460185,0.7326930684196643,-0.7803794320474232,0.10138173227350226,-0.4956271966167644,0.6735352013670223,0.2573314522602409
48.0,339.0,692303.0,0.4482338651093826,0.5173763137308753,-0.2480013651037625,-0.5454899968133042,2.3568729554795786,-0.58508696882705,-0.5667388483475031,-0.5415075955071111,1.3901906778638724,-0.9860635727865577,0.7173282529072355,0.6199110712864864,1.6370362619404786,-0.1953976881734787,-0.5984459892336521,1.0249169093825867,-0.5205915886842026,0.3954020911851361,-0.020934906929338203,-0.5289525255026244,2.19835083475316,0.10138173227350226,-0.5021652928335628,0.043642929927866246,0.3348646665288787
48.0,339.0,692304.0,0.7527713342760508,0.49043510088380765,0.24213616503820695,-0.6584265727935129,-0.16557758484215837,0.20562928363238905,-1.5229571940764628,-0.48513599528135837,2.1468835314144896,-0.22120746725109536,1.911086435130828,-0.811985446244561,-1.308281052122834,,-0.04249807759719701,-0.7225699870025879,-0.5934605127585637,-1.5337333876653176,-0.02174563888023921,-0.5908737816460495,-0.8895475570087011,0.10138173227350226,-0.41063194579838536,0.6735352013670223,-1.5223586017652004
