DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E,state,county,tract
18.7,37.5,37.1,4.9,6.9,8.2,9.1,5.5,1405,55.6,1772,10.7,20.0,1323,22.4,5.5,7.6,6.2,35403,6.9,0.0,0.2,4.7,0.2,97537,48,013,960404
19.5,37.5,32.7,9.8,5.4,18.0,18.6,5.7,955,51.6,1027,24.7,6.0,911,39.3,13.0,22.8,6.7,27958,12.2,9.1,0.0,0.2,0.0,46250,48,013,960500
17.3,36.9,28.9,16.3,2.9,13.4,14.2,0.4,947,40.2,699,26.4,35.5,946,47.2,21.3,18.0,9.0,28852,6.4,2.7,0.0,0.4,0.5,75492,48,013,960601
14.5,36.7,29.5,10.0,2.9,15.1,5.7,2.0,1492,51.2,1508,4.3,25.3,987,25.9,14.5,7.0,10.1,32243,14.1,14.7,0.0,1.0,0.0,78636,48,013,960602
15.3,34.8,28.0,10.8,18.2,6.1,11.2,17.5,1012,39.0,696,20.5,32.8,760,30.1,16.4,27.6,4.5,24240,14.6,0.3,0.0,13.5,0.2,40657,48,015,760100
21.9,44.5,28.5,5.7,7.3,0.7,26.5,26.4,962,52.8,1007,12.7,21.3,1397,23.0,7.5,19.6,9.7,28638,10.9,8.2,0.0,25.5,2.0,49517,48,015,760201
15.5,42.9,30.1,6.2,3.0,5.7,14.4,4.5,1693,47.9,1723,12.1,10.7,993,34.1,10.3,2.7,10.6,40920,7.9,5.0,0.0,4.1,0.0,81917,48,015,760202
23.0,40.1,37.0,2.8,1.9,1.4,21.3,5.4,1301,46.7,1234,11.8,17.4,-666666666,10.8,13.5,3.4,6.1,43040,3.9,5.3,0.0,5.4,0.8,81275,48,015,760301
20.2,35.5,31.2,7.7,4.3,3.1,9.5,11.5,2123,50.5,2329,21.4,30.4,1344,18.3,7.2,18.4,12.4,32324,8.3,0.0,0.0,9.1,0.0,73835,48,015,760302
29.5,52.7,46.0,3.2,1.5,8.7,10.9,8.2,1288,51.0,1495,6.1,7.6,1141,15.0,34.2,4.0,13.1,53333,3.6,3.5,0.0,7.6,0.0,127500,48,015,760400
27.2,49.9,43.6,4.9,4.4,4.7,13.9,7.8,1674,49.1,1706,8.4,17.6,874,16.8,16.1,5.7,15.5,49705,5.8,0.8,0.0,5.7,0.4,90556,48,015,760501
16.5,37.7,32.9,7.4,0.6,3.7,18.3,10.2,2121,52.2,2031,21.3,35.7,895,22.7,3.6,22.1,8.1,30978,8.8,4.0,0.0,10.2,0.0,64381,48,015,760502
15.7,39.1,34.0,15.5,0.8,6.6,10.5,6.3,1407,56.2,1803,30.4,18.3,728,8.5,17.7,2.9,2.9,37410,12.5,17.8,0.0,1.4,0.0,83221,48,017,950101
20.1,32.9,40.2,15.8,0.0,32.2,6.2,0.0,843,44.1,1124,38.6,25.7,930,7.0,21.7,7.1,0.0,20582,23.3,6.8,0.0,0.0,0.0,52831,48,017,950102
29.4,48.6,47.7,6.9,8.3,0.8,20.3,0.3,1969,48.9,1809,13.8,9.5,1070,19.6,12.5,11.1,3.3,33485,2.2,1.4,0.0,0.2,1.3,58482,48,019,000101
